mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.12857142857142856,0.02642857142857143,3661.425408791653,3664.0576158996346,3.9075764862453157,3.3321167717673172,stable,0.02270668697292551,0.0011576082256724522,chaotic,exponential,1.8527342279038148,0.5397428216843605,0.9832044496818579,3.514923449637085,0.057166303323930245,
0.12857142857142856,0.02428571428571429,3588.815144011481,3586.2031601520193,4.315175770028397,3.2257760185915276,stable,0.021846478263471403,0.00288698091792197,chaotic,exponential,1.7608735378620097,0.5678999533459765,0.9480121564647185,3.4780519136940624,0.02655864139427533,
0.1407142857142857,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.1407142857142857,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.1407142857142857,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.12857142857142856,0.03071428571428572,3813.9300793629673,3825.0620561977444,8.731041720457162,3.0577190349315524,stable,0.02396646654201492,0.0005527539953492428,chaotic,exponential,2.141938109614265,0.46686689755946637,0.9671024667749675,3.5285753569332994,0.04962991718494636,
0.1407142857142857,0.01142857142857143,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.12857142857142856,0.032857142857142856,3913.283149042189,3911.910815693753,4.720292782431524,2.3626165138961976,stable,0.021122918005558364,0.0007746498447169317,chaotic,exponential,2.4223752067813007,0.412817963625353,0.9612790398654223,3.505721293083832,0.04807954253007818,
0.12857142857142856,0.035,3980.1861838856257,3972.883285424748,4.201063568643324,2.905232567524375,stable,0.019576563833942007,0.0018743352442985007,chaotic,exponential,2.4343244521189122,0.4107915849629529,0.9499254484916129,3.3938671236998412,0.01964638285482323,
0.1407142857142857,0.013571428571428571,70.53711428037009,68.86535385055728,1.912453154822427,0.33667714818640193,stable,-0.1628536200998457,0.14792612082748877,ordered,exponential,2.5506793438073028,0.39205241632111143,0.04583887221758402,0.13204150625913882,-8.322338315776719e-06,
0.1407142857142857,0.015714285714285715,3477.836991578839,3468.0122879034816,11.260865814417123,15.249615438319136,stable,0.05714090320657931,0.003022393762130802,chaotic,exponential,1.4952452122887405,0.6687866256192996,1.088866631869097,3.7131349400492275,0.09164302835100724,
0.1407142857142857,0.01785714285714286,3548.5868190645206,3550.6088435027887,4.119024824951842,8.354381565996814,stable,0.041399681975243,0.00015621896813969213,chaotic,exponential,1.6196051629519383,0.6174344357962972,1.0455102938134861,3.6625345247639443,0.06426220254406445,
0.1407142857142857,0.02,3604.7138317637377,3599.4046388992533,5.195866897294521,4.593583193243573,stable,0.04149734040393401,0.0005180979529236502,chaotic,exponential,1.5597919253595753,0.6411111531876101,0.9969730570784826,3.6046736695895416,0.03200881256263233,
0.1407142857142857,0.022142857142857145,3696.0597051021477,3701.9093765326993,2.708782067344338,5.439527342776417,stable,0.03034265773286991,0.001740894094707138,chaotic,exponential,1.6892970193006092,0.5919622118400546,1.0042524557405408,3.6258824308419615,0.03155054699063253,
0.1407142857142857,0.02642857142857143,3852.8574514046804,3854.0286601934627,2.119189684149487,3.8017434867270055,stable,0.02520151668488275,0.0006619336119784941,chaotic,exponential,1.8212193923616342,0.54908266636853,0.984670287694139,3.6533918041618327,0.019881457613458275,
0.1407142857142857,0.02428571428571429,3780.903007984063,3792.1932663423754,7.816744146744982,3.9070240603780757,stable,0.02570783602665198,0.0014943307879654569,chaotic,exponential,1.7521027830319804,0.5707427724471272,0.9813685249845849,3.6109475641422435,0.021578621517778895,
0.1407142857142857,0.028571428571428574,3919.9334902643004,3918.831940775211,3.688256890607717,2.7005302118608987,stable,0.02681723743039846,0.0021381831029658456,chaotic,exponential,2.0471987661594984,0.4884723537988345,0.9631975322744465,3.5229474821270204,0.025164108186623624,
0.15285714285714286,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.15285714285714286,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.15285714285714286,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.15285714285714286,0.01142857142857143,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.1407142857142857,0.03071428571428572,4021.346061618441,4027.4860305553884,1.4813186212719234,3.2346047851147186,stable,0.022265099311007248,0.0018593304299756217,chaotic,exponential,2.1205705481386774,0.47157120090993726,1.010224361218595,3.67223239249166,0.0411609370057735,
0.1407142857142857,0.032857142857142856,4047.834840968089,4054.936969687522,4.181943151959834,2.5831373275800242,stable,0.022471408023029674,0.000680131312588134,chaotic,exponential,2.2011537740419476,0.454307196431676,0.9898671700733594,3.6002078069687555,0.046858223677676225,
0.1407142857142857,0.035,4164.667643408215,4172.004473456,4.896929415888774,2.988111387490075,stable,0.022728010868468842,0.00031606112190691124,chaotic,exponential,2.3912865045294702,0.4181849385700307,0.9951982184512667,3.469086648731773,0.05326711867859579,
0.15285714285714286,0.013571428571428571,74.27895919681313,71.11820058691148,1.257216171145901,0.2827679430507204,stable,-0.18617558185461017,0.16620746891551078,ordered,exponential,2.9541094815882114,0.3385114892432396,0.06420539302367272,0.15240139314887816,-8.322338315776719e-06,
0.15285714285714286,0.01785714285714286,77.77957296656236,80.23453452637533,1.6281630367173683,0.16319419257583537,stable,0.006634898072591528,0.0023616906785258293,critical,exponential,2.6488150623534397,0.37752730049470207,0.048160974562291695,0.13008838125913882,-8.322338315776719e-06,
0.15285714285714286,0.015714285714285715,76.0,76.0,0.0,0.0,stable,-2.0,0.0,ordered,exponential,2.655252814187497,0.3766119725612638,0.042635964037051714,0.14068264314887832,-8.322338315776719e-06,
0.15285714285714286,0.02,93.32372565818113,91.83411181602291,0.47544102000262106,0.03625967168938776,stable,0.003112597543835893,0.004723736570199268,critical,exponential,2.826393774424097,0.3538077422363977,0.058951314638255516,0.12990804445470255,-8.322338315776719e-06,
0.15285714285714286,0.022142857142857145,3893.711967100251,3897.5528891794033,4.602245398532506,4.262742654918516,stable,0.03320758806786229,0.0010400017521768874,chaotic,exponential,1.7202666021240876,0.5813052458062353,1.023150045330127,3.8057370702354785,0.04613499264386789,
0.15285714285714286,0.02428571428571429,3992.6336352971684,3979.596728275862,6.950452151791641,3.3133518246876617,stable,0.027654923720357123,0.0019262281359120148,chaotic,exponential,1.8320057114376491,0.5458498266445139,1.0334754208491597,3.6943381798475987,0.02384962751563169,
0.15285714285714286,0.02642857142857143,4041.8453328568967,4044.291467876495,2.2288345435214225,3.1340547137205683,stable,0.026532592586569762,0.0018488343934494726,chaotic,exponential,1.871472883684813,0.5343384928084358,1.0323893255566159,3.802594868724131,0.02727755027949952,
